FoodCode,Desc,kcal_per_100g,core_score_per_100kcal,top_negative_terms,top_positive_terms
92309020,"Tea, iced, bottled, black, diet",1.0,-280.4780540668675,NUTR_PHOS(-278.340); NUTR_CARB(-2.120); NUTR_COPP(-0.018); NUTR_NIAC(-0.000); NUTR_FDFE(-0.000); NUTR_VB2(-0.000); NUTR_ATOC(-0.000); NUTR_FIBE(-0.000); NUTR_VK(-0.000); NUTR_PROT(-0.000); NUTR_CALC(-0.000),NUTR_PHOS(+-278.340); NUTR_CARB(+-2.120); NUTR_COPP(+-0.018); NUTR_NIAC(+-0.000); NUTR_FDFE(+-0.000); NUTR_VB2(+-0.000); NUTR_ATOC(+-0.000); NUTR_FIBE(+-0.000); NUTR_VK(+-0.000); NUTR_PROT(+-0.000); NUTR_CALC(+-0.000)
75119000,"Parsley, raw",36.0,-260.3596555308608,NUTR_VK(-226.629); NUTR_CALC(-13.806); NUTR_PHOS(-13.589); NUTR_FDFE(-2.757); NUTR_CARB(-1.694); NUTR_NIAC(-0.681); NUTR_FIBE(-0.613); NUTR_PROT(-0.315); NUTR_ATOC(-0.223); NUTR_VB2(-0.038); NUTR_COPP(-0.015),NUTR_VK(+-226.629); NUTR_CALC(+-13.806); NUTR_PHOS(+-13.589); NUTR_FDFE(+-2.757); NUTR_CARB(+-1.694); NUTR_NIAC(+-0.681); NUTR_FIBE(+-0.613); NUTR_PROT(+-0.315); NUTR_ATOC(+-0.223); NUTR_VB2(+-0.038); NUTR_COPP(+-0.015)
75221210,"Parsley, cooked (assume fat not added in cooking)",36.0,-258.04515554862064,NUTR_VK(-226.629); NUTR_CALC(-13.105); NUTR_PHOS(-12.183); NUTR_FDFE(-2.619); NUTR_CARB(-1.694); NUTR_NIAC(-0.613); NUTR_FIBE(-0.613); NUTR_PROT(-0.315); NUTR_ATOC(-0.223); NUTR_VB2(-0.036); NUTR_COPP(-0.014),NUTR_VK(+-226.629); NUTR_CALC(+-13.105); NUTR_PHOS(+-12.183); NUTR_FDFE(+-2.619); NUTR_CARB(+-1.694); NUTR_NIAC(+-0.613); NUTR_FIBE(+-0.613); NUTR_PROT(+-0.315); NUTR_ATOC(+-0.223); NUTR_VB2(+-0.036); NUTR_COPP(+-0.014)
72104100,"Chard, raw",19.0,-253.30254802120294,NUTR_VK(-217.319); NUTR_PHOS(-20.421); NUTR_CALC(-9.667); NUTR_CARB(-1.897); NUTR_FDFE(-1.517); NUTR_ATOC(-1.065); NUTR_FIBE(-0.563); NUTR_NIAC(-0.393); NUTR_PROT(-0.361); NUTR_VB2(-0.066); NUTR_COPP(-0.033),NUTR_VK(+-217.319); NUTR_PHOS(+-20.421); NUTR_CALC(+-9.667); NUTR_CARB(+-1.897); NUTR_FDFE(+-1.517); NUTR_ATOC(+-1.065); NUTR_FIBE(+-0.563); NUTR_NIAC(+-0.393); NUTR_PROT(+-0.361); NUTR_VB2(+-0.066); NUTR_COPP(+-0.033)
72130100,"Watercress, raw",11.0,-202.37072006266825,NUTR_VK(-113.063); NUTR_PHOS(-46.007); NUTR_CALC(-39.288); NUTR_CARB(-1.130); NUTR_ATOC(-0.973); NUTR_PROT(-0.798); NUTR_NIAC(-0.340); NUTR_FIBE(-0.304); NUTR_FDFE(-0.291); NUTR_VB2(-0.152); NUTR_COPP(-0.025),NUTR_VK(+-113.063); NUTR_PHOS(+-46.007); NUTR_CALC(+-39.288); NUTR_CARB(+-1.130); NUTR_ATOC(+-0.973); NUTR_PROT(+-0.798); NUTR_NIAC(+-0.340); NUTR_FIBE(+-0.304); NUTR_FDFE(+-0.291); NUTR_VB2(+-0.152); NUTR_COPP(+-0.025)
72130200,"Watercress, cooked, fat not added in cooking",11.0,-201.3154341295543,NUTR_VK(-112.385); NUTR_PHOS(-46.007); NUTR_CALC(-38.961); NUTR_CARB(-1.121); NUTR_ATOC(-0.964); NUTR_PROT(-0.794); NUTR_NIAC(-0.321); NUTR_FIBE(-0.304); NUTR_FDFE(-0.291); NUTR_VB2(-0.143); NUTR_COPP(-0.025),NUTR_VK(+-112.385); NUTR_PHOS(+-46.007); NUTR_CALC(+-38.961); NUTR_CARB(+-1.121); NUTR_ATOC(+-0.964); NUTR_PROT(+-0.794); NUTR_NIAC(+-0.321); NUTR_FIBE(+-0.304); NUTR_FDFE(+-0.291); NUTR_VB2(+-0.143); NUTR_COPP(+-0.025)
72119210,"Kale, cooked, NS as to form, fat not added in cooking",28.0,-165.62903380972443,NUTR_VK(-144.055); NUTR_CALC(-9.261); NUTR_PHOS(-8.435); NUTR_CARB(-1.924); NUTR_FDFE(-0.515); NUTR_FIBE(-0.478); NUTR_NIAC(-0.331); NUTR_ATOC(-0.321); NUTR_PROT(-0.256); NUTR_VB2(-0.034); NUTR_COPP(-0.020),NUTR_VK(+-144.055); NUTR_CALC(+-9.261); NUTR_PHOS(+-8.435); NUTR_CARB(+-1.924); NUTR_FDFE(+-0.515); NUTR_FIBE(+-0.478); NUTR_NIAC(+-0.331); NUTR_ATOC(+-0.321); NUTR_PROT(+-0.256); NUTR_VB2(+-0.034); NUTR_COPP(+-0.020)
75109400,"Basil, raw",23.0,-143.4854738400228,NUTR_VK(-89.719); NUTR_CALC(-27.715); NUTR_PHOS(-20.536); NUTR_FDFE(-2.207); NUTR_CARB(-1.110); NUTR_NIAC(-0.733); NUTR_PROT(-0.522); NUTR_FIBE(-0.465); NUTR_ATOC(-0.372); NUTR_COPP(-0.059); NUTR_VB2(-0.046),NUTR_VK(+-89.719); NUTR_CALC(+-27.715); NUTR_PHOS(+-20.536); NUTR_FDFE(+-2.207); NUTR_CARB(+-1.110); NUTR_NIAC(+-0.733); NUTR_PROT(+-0.522); NUTR_FIBE(+-0.465); NUTR_ATOC(+-0.372); NUTR_COPP(+-0.059); NUTR_VB2(+-0.046)
72125213,"Spinach, canned, cooked, no added fat",23.0,-141.38233847285144,NUTR_VK(-99.842); NUTR_CALC(-19.886); NUTR_PHOS(-16.136); NUTR_FDFE(-1.601); NUTR_CARB(-1.425); NUTR_ATOC(-0.903); NUTR_FIBE(-0.698); NUTR_PROT(-0.466); NUTR_NIAC(-0.315); NUTR_VB2(-0.084); NUTR_COPP(-0.028),NUTR_VK(+-99.842); NUTR_CALC(+-19.886); NUTR_PHOS(+-16.136); NUTR_FDFE(+-1.601); NUTR_CARB(+-1.425); NUTR_ATOC(+-0.903); NUTR_FIBE(+-0.698); NUTR_PROT(+-0.466); NUTR_NIAC(+-0.315); NUTR_VB2(+-0.084); NUTR_COPP(+-0.028)
72128211,"Turnip greens, fresh, cooked, no added fat",20.0,-133.66545330989268,NUTR_VK(-91.163); NUTR_CALC(-24.670); NUTR_PHOS(-12.230); NUTR_CARB(-2.096); NUTR_FIBE(-1.170); NUTR_ATOC(-1.001); NUTR_FDFE(-0.640); NUTR_NIAC(-0.383); NUTR_PROT(-0.217); NUTR_VB2(-0.050); NUTR_COPP(-0.044),NUTR_VK(+-91.163); NUTR_CALC(+-24.670); NUTR_PHOS(+-12.230); NUTR_CARB(+-2.096); NUTR_FIBE(+-1.170); NUTR_ATOC(+-1.001); NUTR_FDFE(+-0.640); NUTR_NIAC(+-0.383); NUTR_PROT(+-0.217); NUTR_VB2(+-0.050); NUTR_COPP(+-0.044)
72101100,"Beet greens, raw",22.0,-131.83512518259204,NUTR_VK(-90.451); NUTR_CALC(-19.153); NUTR_PHOS(-15.719); NUTR_CARB(-1.897); NUTR_FDFE(-1.870); NUTR_FIBE(-1.124); NUTR_ATOC(-0.730); NUTR_PROT(-0.381); NUTR_NIAC(-0.340); NUTR_VB2(-0.139); NUTR_COPP(-0.031),NUTR_VK(+-90.451); NUTR_CALC(+-19.153); NUTR_PHOS(+-15.719); NUTR_CARB(+-1.897); NUTR_FDFE(+-1.870); NUTR_FIBE(+-1.124); NUTR_ATOC(+-0.730); NUTR_PROT(+-0.381); NUTR_NIAC(+-0.340); NUTR_VB2(+-0.139); NUTR_COPP(+-0.031)
72118210,"Greens, cooked, NS as to form, fat not added in cooking",27.0,-123.04410289223958,NUTR_VK(-93.268); NUTR_CALC(-16.006); NUTR_PHOS(-9.372); NUTR_CARB(-1.860); NUTR_FIBE(-0.817); NUTR_FDFE(-0.569); NUTR_ATOC(-0.464); NUTR_NIAC(-0.346); NUTR_PROT(-0.280); NUTR_VB2(-0.044); NUTR_COPP(-0.019),NUTR_VK(+-93.268); NUTR_CALC(+-16.006); NUTR_PHOS(+-9.372); NUTR_CARB(+-1.860); NUTR_FIBE(+-0.817); NUTR_FDFE(+-0.569); NUTR_ATOC(+-0.464); NUTR_NIAC(+-0.346); NUTR_PROT(+-0.280); NUTR_VB2(+-0.044); NUTR_COPP(+-0.019)
